Bus Service,Longtitude,Latitude,Start,Bus Stop Code ,Bus Stop Name,Weight in Km,Edge 1,Edge 1 Name,Weight in Km,Edge 2,Edge 2 Name,Weight in Km,Edge 3,Edge 3 Name,Weight in Km,Edge 4,Edge 4 Name,Weight in Km,Edge 5,Edge 5 Name,Weight in Km,Edge 6,Edge 6 Name,Weight in Km,Edge 7,Edge 7 Name,Weight in Km,Edge 8,Edge 8 Name,Weight in Km,Edge 9,Edge 9 Name,Weight in Km,Edge 10,Edge 10 Name,Weight in Km,Edge 11,Edge 11 Name,Weight in Km,Edge 12,Edge 12 Name,Weight in Km,Edge 13,Edge 13 Name,Weight in Km,Edge 14,Edge 14 Name,Weight in Km,Edge 15,Edge 15 Name,Weight in Km,Edge 16,Edge 16 Name,Weight in Km,Edge 17,Edge 17 Name,Weight in Km,Edge 18,Edge 18 Name,Weight in Km,Edge 19,Edge 19 Name,Weight in Km,Edge 20,Edge 20 Name,Weight in Km
3,103°54'9.1,1°24'14.79,From Punggol Temp Int,65009,Punggol Temp Int,0,65221,Blk 303D,0.5,65281,Punggol Sec/Blk 601B,0.3,65271,Opp Blk 188,0.5,65261,Blk 649,0.6,65239,Riviera Stn Exit A,0.5,65179,Coral Edge Stn Exit A,0.6,65169,Meridian Stn Exit A,0.4,65159,Cove Stn Exit A,0.6,65079,Blk 102C,0.3,65199,Aft Punggol Rd,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,103°54'9.1,1°24'14.79,From Punggol Temp Int,65009,Punggol Temp Int,0,65221,Blk 303D,0.5,65089,Opp Blk 296,0.4,65079,Blk 102C,0.3,65199,Aft Punggol Rd,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,103°54'9.1,1°24'14.79,From Punggol Temp Int,65009,Punggol Temp Int,0,65259,Punggol Stn/Int,0.3,65409,Bef Blk 264,0.3,65141,Soo Teck Stn,0.4,65431,Twin Waterfalls,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43e,103°54'9.1,1°24'14.79,From Punggol Temp Int,65009,Punggol Temp Int,0,65259,Punggol Stn/Int,0.3,65409,Bef Blk 264,0.3,65141,Soo Teck Stn,0.4,65431,Twin Waterfalls,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43m,103°54'9.1,1°24'14.79,From Punggol Temp Int,65009,Punggol Temp Int,0,65259,Punggol Stn/Int,0.3,65409,Bef Blk 264,0.3,65141,Soo Teck Stn,0.4,65431,Twin Waterfalls,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,103°54'9.1,1°24'14.79,From Punggol Temp Int,65009,Punggol Temp Int,0,65201,Opp Blk 201A,0.4,65151,Cove Stn Exit B,0.4,65161,Meridian Stn Exit B,0.3,65171,Coral Edge Stn Exit B,0.5,65529,Aft Punggol Field,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,103°54'9.1,1°24'14.79,From Punggol Temp Int,65009,Punggol Temp Int,0,65201,Opp Blk 201A,0.4,65079,Blk 102C,0.3,65069,BLk 190C,0.5,65059,St. Anne's Ch,0.3,65049,Blk 126A,0.4,65039,Blk 124,0.3,65029,Blk 111,0.3,65019,The Rivervale,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,103°54'9.1,1°24'14.79,From Punggol Temp Int,65009,Punggol Temp Int,0,65221,Blk 303D,0.5,65281,Punggol Sec/Blk 601B,0.3,65271,Opp Blk 188,0.5,65261,Blk 649,0.6,65239,Riviera Stn Exit A,0.5,65179,Coral Edge Stn Exit A,0.6,65169,Meridian Stn Exit A,0.4,65159,Cove Stn Exit A,0.6,65079,Blk 102C,0.3,65069,Blk 190C,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,103°54'9.1,1°24'14.79,From Punggol Temp Int,65009,Punggol Temp Int,0,65221,Blk 303D,0.5,65091,Blk 301A,0.3,65489,Aft Punggol Dr,0.6,65469,Blk 310B,0.8,65619,Nibong Stn Exit A,0.2,65629,Samudera Stn Exit A,0.6,65639,Bef Punggol Pt Stn,0.3,65121,Opp Track 22,0.5,65139,Punggol Rd End,0.6,65129,Aft Track 22,0.4,65631,Aft Punggol Pt Stn,0.6,65621,Samudera Stn Exit B,0.4,65611,Nibong Stn Exit B,0.6,,,,,,,,,,,,,,,,,,,,,
85,103°54'9.1,1°24'14.79,From Punggol Temp Int,65009,Punggol Temp Int,0,65221,Blk 303D,0.5,65281,Punggol Sec/Blk 601B,0.3,65271,Opp Blk 188,0.5,65261,Blk 649,0.6,65239,Riviera Stn Exit A,0.5,65529,Aft Punggol Field,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,103°54'9.1,1°24'14.79,From Punggol Temp Int,65009,Punggol Temp Int,0,65259,Punggol Stn/Int,0.3,65409,Bef Blk 264,0.3,65141,Soo Teck Stn,0.4,65431,Twin Waterfalls,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,103°54'9.1,1°24'14.79,From Punggol Temp Int,65009,Punggol Temp Int,0,65341,Opp Blk 272C,0.5,65331,Opp Blk 268D,0.3,65431,Twin Waterfalls,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
